,n,m,c,tipoFrec,maxDist
290,10.0,10.0,22.0,1.0,10.0
291,10.0,10.0,22.0,1.0,9.0
292,10.0,10.0,22.0,1.0,10.0
293,10.0,10.0,22.0,1.0,9.0
294,10.0,10.0,22.0,1.0,10.0
295,10.0,10.0,22.0,1.0,10.0
296,10.0,10.0,22.0,1.0,9.0
297,10.0,10.0,22.0,1.0,10.0
298,10.0,10.0,22.0,1.0,9.0
299,10.0,10.0,22.0,1.0,9.0
300,10.0,10.0,21.0,2.0,10.0
301,10.0,10.0,21.0,2.0,10.0
302,10.0,10.0,21.0,2.0,10.0
303,10.0,10.0,21.0,2.0,10.0
304,10.0,10.0,21.0,2.0,10.0
305,10.0,10.0,21.0,2.0,10.0
306,10.0,10.0,21.0,2.0,10.0
307,10.0,10.0,21.0,2.0,10.0
308,10.0,10.0,21.0,2.0,10.0
309,10.0,10.0,21.0,2.0,10.0
310,10.0,10.0,21.0,2.0,10.0
311,10.0,10.0,21.0,2.0,10.0
312,10.0,10.0,21.0,2.0,10.0
313,10.0,10.0,21.0,2.0,10.0
314,10.0,10.0,21.0,2.0,10.0
315,10.0,10.0,21.0,2.0,10.0
316,10.0,10.0,21.0,2.0,10.0
317,10.0,10.0,21.0,2.0,10.0
318,10.0,10.0,21.0,2.0,10.0
319,10.0,10.0,21.0,2.0,10.0
320,10.0,10.0,21.0,2.0,10.0
321,10.0,10.0,21.0,2.0,10.0
322,10.0,10.0,21.0,2.0,10.0
323,10.0,10.0,21.0,2.0,10.0
324,10.0,10.0,21.0,2.0,10.0
325,10.0,10.0,21.0,2.0,10.0
326,10.0,10.0,21.0,2.0,10.0
327,10.0,10.0,21.0,2.0,10.0
328,10.0,10.0,21.0,2.0,10.0
329,10.0,10.0,21.0,2.0,10.0
330,10.0,10.0,21.0,2.0,10.0
331,10.0,10.0,21.0,2.0,10.0
332,10.0,10.0,21.0,2.0,10.0
333,10.0,10.0,21.0,2.0,10.0
334,10.0,10.0,21.0,2.0,10.0
335,10.0,10.0,21.0,2.0,10.0
336,10.0,10.0,21.0,2.0,10.0
337,10.0,10.0,21.0,2.0,10.0
338,10.0,10.0,21.0,2.0,10.0
339,10.0,10.0,21.0,2.0,10.0
340,10.0,10.0,21.0,2.0,10.0
341,10.0,10.0,21.0,2.0,10.0
342,10.0,10.0,21.0,2.0,10.0
343,10.0,10.0,21.0,2.0,10.0
344,10.0,10.0,21.0,2.0,10.0
345,10.0,10.0,21.0,2.0,10.0
346,10.0,10.0,21.0,2.0,10.0
347,10.0,10.0,21.0,2.0,10.0
348,10.0,10.0,21.0,2.0,10.0
349,10.0,10.0,21.0,2.0,10.0
350,10.0,10.0,21.0,2.0,10.0
351,10.0,10.0,21.0,2.0,10.0
352,10.0,10.0,21.0,2.0,10.0
353,10.0,10.0,21.0,2.0,10.0
354,10.0,10.0,21.0,2.0,10.0
355,10.0,10.0,21.0,2.0,10.0
356,10.0,10.0,21.0,2.0,10.0
357,10.0,10.0,21.0,2.0,10.0
358,10.0,10.0,21.0,2.0,10.0
359,10.0,10.0,21.0,2.0,10.0
360,10.0,10.0,21.0,2.0,10.0
361,10.0,10.0,21.0,2.0,10.0
362,10.0,10.0,21.0,2.0,10.0
363,10.0,10.0,21.0,2.0,10.0
364,10.0,10.0,21.0,2.0,10.0
365,10.0,10.0,21.0,2.0,10.0
366,10.0,10.0,21.0,2.0,10.0
367,10.0,10.0,21.0,2.0,10.0
368,10.0,10.0,21.0,2.0,10.0
369,10.0,10.0,21.0,2.0,10.0
370,10.0,10.0,21.0,2.0,10.0
371,10.0,10.0,21.0,2.0,10.0
372,10.0,10.0,21.0,2.0,10.0
373,10.0,10.0,21.0,2.0,10.0
374,10.0,10.0,21.0,2.0,10.0
375,10.0,10.0,21.0,2.0,10.0
376,10.0,10.0,21.0,2.0,10.0
377,10.0,10.0,21.0,2.0,10.0
378,10.0,10.0,21.0,2.0,10.0
379,10.0,10.0,21.0,2.0,10.0
380,10.0,10.0,21.0,2.0,10.0
381,10.0,10.0,21.0,2.0,10.0
382,10.0,10.0,21.0,2.0,10.0
383,10.0,10.0,21.0,2.0,10.0
384,10.0,10.0,21.0,2.0,10.0
385,10.0,10.0,21.0,2.0,10.0
386,10.0,10.0,21.0,2.0,10.0
387,10.0,10.0,21.0,2.0,10.0
388,10.0,10.0,21.0,2.0,10.0
389,10.0,10.0,21.0,2.0,10.0
390,10.0,10.0,21.0,2.0,10.0
391,10.0,10.0,21.0,2.0,10.0
392,10.0,10.0,21.0,2.0,10.0
393,10.0,10.0,21.0,2.0,10.0
394,10.0,10.0,21.0,2.0,10.0
395,10.0,10.0,21.0,2.0,10.0
396,10.0,10.0,21.0,2.0,10.0
397,10.0,10.0,21.0,2.0,10.0
398,10.0,10.0,21.0,2.0,10.0
399,10.0,10.0,21.0,2.0,10.0
400,10.0,10.0,24.0,2.0,10.0
401,10.0,10.0,24.0,2.0,10.0
402,10.0,10.0,24.0,2.0,10.0
403,10.0,10.0,24.0,2.0,10.0
404,10.0,10.0,24.0,2.0,10.0
405,10.0,10.0,24.0,2.0,10.0
