,n,m,c,tipoFrec,maxDist,maxDist%
144,10.0,300.0,4.0,2.0,255.0,15.0
145,10.0,300.0,4.0,2.0,258.0,14.0
146,10.0,300.0,4.0,2.0,254.0,15.333333333333329
147,10.0,300.0,4.0,2.0,259.0,13.666666666666671
148,10.0,300.0,4.0,2.0,261.0,13.0
149,10.0,300.0,4.0,2.0,264.0,12.0
150,10.0,300.0,4.0,2.0,258.0,14.0
151,10.0,300.0,4.0,2.0,260.0,13.333333333333329
152,10.0,300.0,4.0,2.0,268.0,10.666666666666671
153,10.0,300.0,4.0,2.0,254.0,15.333333333333329
154,10.0,300.0,4.0,2.0,256.0,14.666666666666671
155,10.0,300.0,4.0,2.0,261.0,13.0
156,10.0,300.0,4.0,2.0,266.0,11.333333333333329
157,10.0,300.0,4.0,2.0,257.0,14.333333333333329
158,10.0,300.0,4.0,2.0,261.0,13.0
159,10.0,300.0,4.0,2.0,265.0,11.666666666666671
160,10.0,300.0,4.0,2.0,259.0,13.666666666666671
161,10.0,300.0,4.0,2.0,259.0,13.666666666666671
162,10.0,300.0,4.0,2.0,266.0,11.333333333333329
163,10.0,300.0,4.0,2.0,262.0,12.666666666666671
164,10.0,300.0,4.0,2.0,262.0,12.666666666666671
165,10.0,300.0,4.0,2.0,260.0,13.333333333333329
166,10.0,300.0,4.0,2.0,262.0,12.666666666666671
167,10.0,300.0,4.0,2.0,263.0,12.333333333333329
168,10.0,300.0,4.0,2.0,262.0,12.666666666666671
169,10.0,300.0,4.0,2.0,264.0,12.0
170,10.0,300.0,4.0,2.0,255.0,15.0
171,10.0,300.0,4.0,2.0,258.0,14.0
172,10.0,300.0,4.0,2.0,266.0,11.333333333333329
173,10.0,300.0,4.0,2.0,258.0,14.0
174,10.0,300.0,4.0,2.0,255.0,15.0
175,10.0,300.0,4.0,2.0,259.0,13.666666666666671
176,10.0,300.0,4.0,2.0,264.0,12.0
177,10.0,300.0,4.0,2.0,260.0,13.333333333333329
178,10.0,300.0,4.0,2.0,262.0,12.666666666666671
179,10.0,300.0,4.0,2.0,257.0,14.333333333333329
180,10.0,300.0,4.0,3.0,229.0,23.66666666666667
181,10.0,300.0,4.0,3.0,229.0,23.66666666666667
182,10.0,300.0,4.0,3.0,230.0,23.33333333333333
183,10.0,300.0,4.0,3.0,229.0,23.66666666666667
184,10.0,300.0,4.0,3.0,225.0,25.0
185,10.0,300.0,4.0,3.0,219.0,27.0
186,10.0,300.0,4.0,3.0,225.0,25.0
187,10.0,300.0,4.0,3.0,220.0,26.66666666666667
188,10.0,300.0,4.0,3.0,224.0,25.33333333333333
189,10.0,300.0,4.0,3.0,221.0,26.33333333333333
190,10.0,300.0,4.0,3.0,223.0,25.66666666666667
